Snout_X,Snout_Y,Snout_Z,Left_Ear_X,Left_Ear_Y,Left_Ear_Z,Right_Ear_X,Right_Ear_Y,Right_Ear_Z,Neck_X,Neck_Y,Neck_Z,Back_X,Back_Y,Back_Z,Tail_Base_X,Tail_Base_Y,Tail_Base_Z,Tail_Mid_X,Tail_Mid_Y,Tail_Mid_Z,Tail_Tip_X,Tail_Tip_Y,Tail_Tip_Z,Shoulder_Left_X,Shoulder_Left_Y,Shoulder_Left_Z,Elbow_Left_X,Elbow_Left_Y,Elbow_Left_Z,Front_Paw_Left_X,Front_Paw_Left_Y,Front_Paw_Left_Z,Shoulder_Right_X,Shoulder_Right_Y,Shoulder_Right_Z,Elbow_Right_X,Elbow_Right_Y,Elbow_Right_Z,Front_Paw_Right_X,Front_Paw_Right_Y,Front_Paw_Right_Z,Hip_Left_X,Hip_Left_Y,Hip_Left_Z,Knee_Left_X,Knee_Left_Y,Knee_Left_Z,Hind_Paw_Left_X,Hind_Paw_Left_Y,Hind_Paw_Left_Z,Hip_Right_X,Hip_Right_Y,Hip_Right_Z,Knee_Right_X,Knee_Right_Y,Knee_Right_Z,Hind_Paw_Right_X,Hind_Paw_Right_Y,Hind_Paw_Right_Z
68.57397001385917,26.534897559258308,684.6152447458928,57.90497061627357,15.637424303363424,614.6080013378837,78.50441365461045,12.233681182149281,625.2771664521006,67.41284078073984,24.17017505975001,612.7753848156318,84.17731520055688,37.0431001576018,579.674215757459,60.635601315263166,92.8154254604455,571.2117983209864,2.3400884954293706,90.95963333494218,587.0646430564618,-31.487624640598206,69.73461467491047,637.9875628418104,55.74323615899516,39.150850270199385,608.5734608010567,56.440073315405215,50.6075519071747,615.0827820468342,49.53639618866301,57.44516390291213,633.2148384795378,80.40199028798712,35.00938107567305,624.9756003848452,84.72018109643292,47.64951679904976,633.3470018776605,90.48743087101676,59.28644897354911,724.1608861358965,51.77137229445226,66.33174492220161,575.2045256820011,50.62034756234428,69.02108791641436,591.8163942704759,39.27060550002207,78.5330592802549,596.6799672933922,73.83814620769054,73.4254694060235,563.7994204724997,83.92270851034213,77.239587188052,597.5269605072286,77.63779119643002,87.27937458018475,598.2073924531176
66.6529978234893,27.580205069208837,682.3443081544807,58.506073433222035,16.020110749634853,615.6079503834173,78.3924793102089,12.351932778803606,623.783742101495,67.87470038966545,24.04700116616045,614.7329118847136,84.42571770249782,37.538897629679816,579.8235790534299,60.811529234885356,92.38896493914363,571.3193249132466,3.0084657422314756,91.80826400422922,590.6840577251014,-31.502488685905135,70.20389857954397,634.4597737775783,56.749599629906335,38.73457477292059,611.6027091883433,57.013221120415636,50.56934421099598,616.5896047408096,49.57774101682973,57.512563013043916,634.9099636696002,80.51143229465109,34.842457180113804,624.9198028066962,84.09654854180889,47.57398648339887,632.6774440722672,90.93938354078135,59.01393552948961,725.3771074454648,50.84954320344911,66.01407625918216,574.5314172480068,48.52664776958213,66.28267123395061,592.8857335033974,39.27060550002207,78.5330592802549,596.6799672933922,75.51673282072319,72.9481828890323,566.3459987049116,86.40965105831305,77.60044307539577,603.120605076278,77.63779119643002,87.27937458018475,598.2073924531176
66.98658967526174,28.446585962501494,683.2697495229478,58.72342189069969,15.829571419824916,616.0181647542521,78.33934043212686,12.546108190199455,623.1796025613762,67.29653430336508,24.120743596261068,613.9649506168903,84.91662983074352,37.49109979387038,584.8859531920929,60.775578796619925,92.54287107392736,571.4629575675617,2.5935562040696576,91.53273149341058,587.065460930397,-30.583958178492303,69.85819254932306,636.8554374813821,56.56273598500794,38.39624833213044,611.8442350843637,56.3668642200048,50.340081630569784,615.8307327935509,49.794206205087484,57.51016018573164,636.7056787908169,80.25717940892459,34.53012482402742,624.6470877949257,84.15792545128366,47.823186345743274,632.6156529574748,91.40047534725674,58.965107879218735,726.3449802148702,50.42525496608309,66.24226114445283,575.112888175251,48.21042692188481,66.22177509587542,592.8481500096225,39.27060550002207,78.5330592802549,596.6799672933922,76.43939961901084,73.06663399556689,568.5115876457074,87.42037696704433,77.80267359544487,605.0409278159257,77.59542860001697,87.20756706429259,597.9650136228875
67.18989195691134,28.870077014857145,685.3278592025921,58.820980281421555,15.911578827096974,616.4743751347143,78.25420922083977,12.570067951255256,622.493175646057,67.052529784579,24.225702688511692,613.0634948888618,85.23117906748095,37.910338981174625,586.0423680702959,60.144582112885665,92.32967946544856,570.5836709287483,2.4681561115514548,91.3630041250703,587.5852726280993,-30.955612043466694,70.0727597842815,636.3233930714213,56.24466227436111,38.66459414693761,612.0371869064428,55.652272864359986,50.49061187254825,614.6268915664831,49.775116897793744,57.47179123447229,636.0321542996539,80.358646457309,34.817474862486534,624.8308000033043,83.9724620416592,48.258548495419056,631.2198742618244,92.39160948006894,58.984425180475206,728.2775638379045,50.25768622027254,66.72452528661499,574.9205714675036,47.164971119547715,66.3300481800283,590.5634528305754,39.27060550002207,78.5330592802549,596.6799672933922,76.6050805730407,73.08867286445837,568.7500689551231,86.70009147510576,77.76252849411813,603.6982159388299,77.55310010802015,87.13581855580239,597.7228208072752
67.63462867843575,29.7551003523959,687.9680553035954,58.777297333354845,16.177804195007596,615.9425179350413,78.21974308753066,12.723667642516569,623.2615881028032,67.19971788909012,24.42516292340271,612.4769794585546,85.7000238957418,38.463629654261624,588.0987293339211,60.04551029028179,92.15827870380443,569.5454669048225,1.7520766400940184,90.62751912079331,585.4271995080172,-30.364997248899417,69.58769213990614,639.6278589948931,56.0860018342251,39.0459886338868,610.8083212111512,55.305031781785765,50.743118228443265,613.409621944592,49.5714335754319,57.436932481507085,636.010199611813,80.10187710386923,35.13935601504561,623.9275345869653,83.58991287622113,48.410788760739315,629.6287891028732,91.95107683802127,59.28345876743176,727.0519960538725,50.83305924103303,66.68341358021333,577.5144112847684,46.97882860681983,66.57064245444509,592.4057046471419,39.450023463013885,78.5875469864286,596.9654203943606,75.77140201610995,73.47738679597954,568.1500749899129,86.03366410216427,77.59955033915128,602.4348092927767,77.51080567531193,87.06412897628104,597.4808137625776
67.57369368400211,29.90902266006252,687.6840275986254,58.557700648210044,16.174777046736747,615.4762099999274,77.98058565596989,12.78605187331982,622.157224091108,66.66831457417541,24.612726726894188,611.4413570944118,85.65709879918538,38.40970499007628,587.9255953321954,60.101446525610264,92.4231671069473,569.5644484829407,1.2497250781956157,90.40821490606304,584.5425025283106,-30.32912696643239,69.34135469109162,640.6914165029617,55.857442158094514,38.80452032690346,610.3653602850317,55.334565059386776,50.473301744147435,612.9941577683829,49.36147384189995,57.408905267674164,634.3667639844346,80.303434751182,34.95372497424045,623.8716037364786,83.59910060436827,48.238686526634915,628.6972315288419,92.79633691752659,58.94478962829107,729.1232916880997,50.636397768754556,66.64692128648724,577.020649303804,47.26463281635472,66.88204293425935,591.9619784463744,39.66310426092397,78.70336022451768,597.1237588841515,75.94390604137403,73.6342994345697,567.9352253196481,85.99074987456018,77.42202939076721,601.7306634671507,77.40948631026443,86.9232528900398,596.3958363695749
67.26158148028088,29.71827708492647,685.7942005704746,57.768425664587994,16.386951896185074,613.6784406362643,78.2865818660278,12.971845631673887,623.8614280061812,66.10811119814309,24.755632672744685,610.6898600512848,85.78541850081041,38.569601168412376,588.4492288272969,60.31336644333887,92.39267417712634,569.4718265965812,1.7420719475536808,90.64765195678211,585.0842611239659,-30.379286334993225,69.74207205318159,639.7500468983799,55.1102082844312,38.90121460449757,609.174982536134,54.72328330206876,50.602674517674444,611.9324224057585,49.2374818659087,57.54105272427259,634.8653960062975,80.39810347925503,34.936193732767535,624.3865672596302,83.69085332371856,48.479647253242646,629.1184576126459,92.75086327462456,59.097557937782504,728.8515681103813,50.7725779834844,66.43714733773209,576.9824327325797,47.00057332262821,66.31596863039941,591.1183290653238,39.81495170982853,78.72235213065935,597.7152646456063,76.07947296779666,73.59649655054876,567.6433474455702,85.80599878909275,77.27739064370124,600.3814063838033,77.40587276641882,86.92570416471251,596.2348291192013
66.98174240488568,29.995698079599624,683.897060676297,57.84430209808106,16.588291922715786,613.2552784120068,78.31160602245559,12.983472898315162,624.374441121638,66.8842713541332,24.888533390382378,612.0731150863855,85.89772761468242,38.7492268211572,588.72361211418,60.41370449688493,92.3379380043294,569.1346601490775,2.266244761571113,90.70782400678078,585.0725883791072,-30.338059756303924,69.9736324373017,639.0092683093274,55.67632767899745,38.964297035018404,609.1040571611147,54.784924915882584,50.68216427153369,610.9918912967677,49.13437153333488,57.73794153042681,633.6998296604411,80.38575283106651,34.993040497678464,623.6132096220362,83.22321812728131,48.35713550885463,627.7836843146807,92.12091969930576,59.30936961863429,727.356132693426,50.87197329349885,66.3762249801138,576.4128000482335,47.20677962076324,66.17213091526733,591.016263314288,40.07193915033482,79.01236504242041,598.920694346836,76.01732144991995,73.51491451791738,567.6963717571515,85.53238265248272,77.26325750314884,599.8890772499557,77.40226312968687,86.92816107100141,596.0738954766224
71.15613780474273,29.364113707920623,693.5118423156694,57.99173164828549,16.498398281782546,613.791913088293,78.27875911438173,12.902091912055178,622.993026019714,66.90121479685074,24.86959204605317,612.2236731664432,86.16988107155832,39.05375300035332,589.9948232076947,60.15629119224111,92.566087623428,569.5187257431538,2.306217229652318,90.69104609654867,585.0986472668623,-30.57718788006632,69.95408116950892,638.3244101870607,55.94620839313592,38.59836509809925,610.0228070645261,54.97407870039674,50.598741204135614,612.1016131216101,49.00757560236466,57.87504915548289,633.1376819290413,80.91081277004638,34.73359214327531,624.0676480557413,83.61613315865218,48.282326563946306,628.0728355954593,94.06864319277805,58.86183068738776,731.7323493820878,50.37535829230204,66.55343015198827,576.6976736714721,46.38285913092008,66.16972645920312,590.5244313007203,40.12455272208988,78.75299235100351,598.6693085926837,76.15097529535163,73.80942388922588,567.1437437918684,85.88821757993614,77.35997075052583,599.5301343268819,77.39865739912194,86.93062360949774,595.913035380736
71.36932174204568,29.048096425568353,695.6554431561319,59.327991641191836,15.880042500221718,617.8900675431204,78.12647426237722,12.393563373580996,623.8744684933201,67.06615627848379,24.81147997562962,613.8413271297862,85.2747146997179,38.08019847506487,585.6837043700526,60.124036826578866,92.5531822466155,569.8550390927811,2.2551848028910597,90.42757118773005,583.9767317760885,-30.438471936469707,69.86078011715335,638.7243809638258,55.50311642099827,39.15414499745633,608.616891134661,55.717775038902204,51.50144679572609,612.5439161557954,49.04051044456608,58.34774466695462,633.9452720525142,79.79480116650366,34.80048732724013,623.1128865939384,83.83207037934953,48.32816122162602,630.2883554691396,92.13962134235891,59.28530037023879,727.4217548044858,50.94058852956571,66.66252782738836,576.0501956080091,47.85401268823337,66.48148561852263,592.207030748085,40.346356192711404,78.90831009055411,599.1244399381821,76.34007195600677,73.51862306445405,568.5756126647327,87.23374551277324,77.64024490169678,603.7674231119039,77.39505557380282,86.9330917807925,595.7522487704412
